,Country,Year,% Plastic in waste stream4,Plastic pollution by year,Value_x,Value_y,plastic pollution per millions of people
73,Colombia,2016,23.9,1350.4448830000001,11300.794,48.747708,27.70273595222159
74,Colombia,2017,23.9,1234.1423445,10327.551000000001,49.291609,25.037574742183807
75,Colombia,2018,23.9,1327.3750495,11107.741,49.83424,26.635804007445483
76,Denmark,2000,7.799999999999999,43.50449999999999,2231.0,5.337344,8.150964224902872
77,Denmark,2001,7.799999999999999,43.8555,2249.0,5.355082,8.189510450073406
78,Denmark,2002,7.799999999999999,43.407,2226.0,5.374255,8.076840417881176
79,Denmark,2003,7.799999999999999,41.710499999999996,2139.0,5.387174,7.742556672570813
80,Denmark,2004,7.799999999999999,43.19249999999999,2215.0,5.401177,7.996868090047778
81,Denmark,2005,7.799999999999999,45.8835,2353.0,5.415978,8.471877101421017
82,Denmark,2006,7.799999999999999,45.649499999999996,2341.0,5.434567,8.399841238501612
83,Denmark,2007,7.799999999999999,46.936499999999995,2407.0,5.457415,8.600500420070674
84,Denmark,2008,7.799999999999999,46.29299999999999,2374.0,5.489022,8.433742841620964
85,Denmark,2009,7.799999999999999,42.022499999999994,2155.0,5.519441,7.613542748260195
86,Denmark,2010,7.799999999999999,42.022499999999994,2155.0,5.543819,7.58006349052882
87,Denmark,2011,7.799999999999999,53.9565,2767.0,5.566856,9.692454771598188
88,Denmark,2012,7.799999999999999,50.56349999999999,2593.0,5.587085,9.050068148238301
89,Denmark,2013,7.799999999999999,50.465999999999994,2588.0,5.608784,8.997672222713515
90,Denmark,2014,7.799999999999999,48.55499999999999,2490.0,5.639719,8.609471500264462
91,Denmark,2015,7.799999999999999,47.91149999999999,2457.0,5.678348,8.43757726719109
92,Denmark,2016,7.799999999999999,47.931,2458.0,5.724456,8.373022694208847
93,Denmark,2017,7.799999999999999,48.30149999999999,2477.0,5.760694,8.384666847431923
94,Denmark,2018,7.799999999999999,45.92249999999999,2355.0,5.789957,7.931406053620086
95,Denmark,2019,5.85,0.894543,45.873999999999995,5.814461,0.15384796630332545
